Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Overall Survival,Progression-Free Survival,Time Step,Simulation Status
46,49,21,0,0.5634782608695652,0.6849700315409016,0.4329469020607351,0.0,100.0,0,RUNNING
47,49,49,0,0.5693617021276596,0.99,0.11683385520492728,0.0,97.82608695652173,1,RUNNING
47,49,49,0,0.5693617021276596,0.9922222222222222,0.014130753484556094,0.0,97.82608695652173,2,RUNNING
49,49,49,0,0.5755102040816327,0.991111111111111,0.0037339635075654878,0.0,93.47826086956522,3,RUNNING
50,49,49,0,0.5855999999999999,0.991111111111111,0.0029893298079714764,0.0,91.30434782608697,4,RUNNING
49,49,49,0,0.6,0.99,0.003935959772968197,0.0,93.47826086956522,5,RUNNING
44,49,49,2,0.6218181818181818,0.9922222222222222,0.00317168583289888,4.347826086956519,100.0,6,RUNNING
46,49,49,0,0.6313043478260869,0.991111111111111,0.003525783317899281,0.0,100.0,7,RUNNING
48,49,49,0,0.64,0.9922222222222222,0.0027296797782743517,0.0,95.65217391304348,8,RUNNING
51,49,49,0,0.6470588235294118,0.9922222222222222,0.003273590899792845,0.0,89.13043478260869,9,RUNNING
51,49,49,0,0.656470588235294,0.99,0.0028564642598939267,0.0,89.13043478260869,10,RUNNING
51,49,49,0,0.656470588235294,0.99,0.002810414626147719,0.0,89.13043478260869,11,RUNNING
48,49,49,0,0.6649999999999999,0.991111111111111,0.003397295208883404,0.0,95.65217391304348,12,RUNNING
48,49,49,0,0.6549999999999999,0.99,0.0036522911336692135,0.0,95.65217391304348,13,RUNNING
48,49,49,0,0.6649999999999999,0.99,0.0031395638503019284,0.0,95.65217391304348,14,RUNNING
51,49,49,0,0.6658823529411765,0.99,0.003312821238370122,0.0,89.13043478260869,15,RUNNING
50,49,49,0,0.6768,0.991111111111111,0.0032233654228363685,0.0,91.30434782608697,16,RUNNING
48,49,49,0,0.69,0.9922222222222222,0.0023552377713028623,0.0,95.65217391304348,17,RUNNING
49,49,49,0,0.6930612244897959,0.991111111111111,0.003543764968781184,0.0,93.47826086956522,18,RUNNING
48,49,49,0,0.695,0.99,0.0021342781556955774,0.0,95.65217391304348,19,RUNNING
48,49,49,0,0.695,0.9922222222222222,0.0028022585798918994,0.0,95.65217391304348,20,RUNNING
47,49,49,0,0.7072340425531916,0.991111111111111,0.003738210020457793,0.0,97.82608695652173,21,RUNNING
45,49,49,1,0.7173333333333334,0.991111111111111,0.0031390015516921848,2.1739130434782594,100.0,22,RUNNING
42,49,49,4,0.7314285714285714,0.991111111111111,0.0028497861504718338,8.695652173913048,100.0,23,RUNNING
42,49,49,4,0.7428571428571429,0.99,0.0028609083988638557,8.695652173913048,100.0,24,RUNNING
42,49,49,4,0.76,0.99,0.0027400763043498753,8.695652173913048,100.0,25,RUNNING
40,49,49,6,0.762,0.9922222222222222,0.0030682408447225314,13.043478260869568,100.0,26,RUNNING
37,49,49,9,0.7686486486486486,0.9922222222222222,0.0030620507913346282,19.565217391304344,100.0,27,RUNNING
37,49,49,9,0.7751351351351351,0.991111111111111,0.003528420629865014,19.565217391304344,100.0,28,RUNNING
36,49,49,10,0.7866666666666666,0.991111111111111,0.0035033117735012195,21.739130434782606,100.0,29,RUNNING
34,49,49,12,0.8047058823529412,0.991111111111111,0.002810517727263791,26.086956521739136,100.0,30,RUNNING
34,49,49,12,0.8117647058823528,0.9922222222222222,0.0031329171975458593,26.086956521739136,100.0,31,RUNNING
31,49,49,15,0.824516129032258,0.99,0.0029561861184075307,32.608695652173914,100.0,32,RUNNING
31,49,49,15,0.824516129032258,0.991111111111111,0.0030652183505983036,32.608695652173914,100.0,33,RUNNING
28,49,49,18,0.8228571428571428,0.99,0.0017438148375604938,39.13043478260869,100.0,34,RUNNING
26,49,49,20,0.8215384615384616,0.99,0.0023539722803055225,43.47826086956522,100.0,35,RUNNING
25,49,49,21,0.84,0.99,0.0030632938658016863,45.652173913043484,100.0,36,RUNNING
24,49,49,22,0.84,0.99,0.002698143640530146,47.82608695652174,100.0,37,RUNNING
22,49,49,24,0.84,0.99,0.002663014597439382,52.17391304347826,100.0,38,RUNNING
21,49,49,25,0.8400000000000001,0.991111111111111,0.0035609274102168134,54.347826086956516,100.0,39,RUNNING
20,49,49,26,0.8400000000000001,0.99,0.002775951094695092,56.52173913043479,100.0,40,RUNNING
20,49,49,26,0.8400000000000001,0.991111111111111,0.0033123051198824492,56.52173913043479,100.0,41,RUNNING
17,49,49,29,0.84,0.99,0.0028482942036320968,63.04347826086957,100.0,42,RUNNING
14,49,49,32,0.84,0.9922222222222222,0.002617765672797661,69.56521739130434,100.0,43,RUNNING
11,49,49,35,0.84,0.9922222222222222,0.002370593939339757,76.08695652173914,100.0,44,RUNNING
7,49,49,39,0.84,0.99,0.0036686400792650506,84.78260869565217,100.0,45,RUNNING
5,49,49,41,0.8400000000000001,0.991111111111111,0.0033641780137111774,89.13043478260869,100.0,46,RUNNING
1,49,49,45,0.84,0.991111111111111,0.003044721965804785,97.82608695652173,100.0,47,RUNNING
0,49,49,46,0.0,0.99,0.003066697116094619,100.0,100.0,48,REMISSION
