Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Overall Survival,Progression-Free Survival,Time Step,Simulation Status
50,30,12,0,0.4968000000000001,0.7348124617031013,0.38369310660505285,0.0,100.0,0,RUNNING
46,30,9,4,0.48834782608695665,0.6560128958263599,0.3871368172432066,7.9999999999999964,100.0,1,RUNNING
42,30,9,8,0.4731428571428572,0.5467797690825452,0.39051576301954,16.000000000000004,100.0,2,RUNNING
39,30,7,11,0.47353846153846163,0.5109147234639926,0.39379976045689763,21.999999999999996,100.0,3,RUNNING
34,30,6,16,0.4637647058823531,0.47557385131167745,0.39715735500306826,31.999999999999996,100.0,4,RUNNING
29,30,6,21,0.46551724137931044,0.4385113788678013,0.40130769050942733,42.00000000000001,100.0,5,RUNNING
27,30,6,23,0.4840000000000001,0.39936826278966847,0.4045792378465933,46.0,100.0,6,RUNNING
20,30,6,30,0.4968000000000001,0.39666666666666667,0.4071752479158212,60.0,100.0,7,RUNNING
17,30,5,33,0.5018823529411766,0.39666666666666667,0.4101480527990972,65.99999999999999,100.0,8,RUNNING
11,30,5,39,0.5203636363636365,0.39666666666666667,0.4129635332408112,78.0,100.0,9,RUNNING
3,30,5,47,0.5400000000000001,0.39666666666666667,0.4164056424858711,94.0,100.0,10,RUNNING
0,30,4,50,0.0,0.39666666666666667,0.42001343486506637,100.0,100.0,11,REMISSION
