Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Overall Survival,Progression-Free Survival,Time Step
10,100,52,0,0.48,0.6981567495471159,0.463159509065463,0.0,100.0,0
0,100,100,10,0.0,0.983754962374817,0.14678661174068522,100.0,100.0,1
0,100,100,10,0.0,0.9908333333333333,0.020468132359086212,100.0,100.0,2
0,100,100,10,0.0,0.99125,0.002576524859214091,100.0,100.0,3
0,100,100,10,0.0,0.99125,0.0030988707710964142,100.0,100.0,4
0,100,100,10,0.0,0.9908333333333333,0.003142691269080348,100.0,100.0,5
0,100,100,10,0.0,0.9908333333333333,0.0034749182224767003,100.0,100.0,6
0,100,100,10,0.0,0.9904166666666666,0.0032562668136106535,100.0,100.0,7
0,100,100,10,0.0,0.99125,0.0029570625835398864,100.0,100.0,8
0,100,100,10,0.0,0.99125,0.002813973268860539,100.0,100.0,9
0,100,100,10,0.0,0.9908333333333333,0.00288042952359645,100.0,100.0,10
0,100,100,10,0.0,0.99125,0.0031672064435976266,100.0,100.0,11
0,100,100,10,0.0,0.99125,0.003132693492564236,100.0,100.0,12
0,100,100,10,0.0,0.9908333333333333,0.002975700027920925,100.0,100.0,13
0,100,100,10,0.0,0.9916666666666667,0.002698868273927919,100.0,100.0,14
0,100,100,10,0.0,0.99125,0.002787800523834174,100.0,100.0,15
0,100,100,10,0.0,0.9916666666666667,0.003100256573679563,100.0,100.0,16
0,100,100,10,0.0,0.9908333333333333,0.003454187849433715,100.0,100.0,17
0,100,100,10,0.0,0.9904166666666666,0.002809906746021907,100.0,100.0,18
0,100,100,10,0.0,0.9904166666666666,0.0032254518331309,100.0,100.0,19
0,100,100,10,0.0,0.9904166666666666,0.0028643366853418305,100.0,100.0,20
0,100,100,10,0.0,0.9908333333333333,0.0030659054927794174,100.0,100.0,21
0,100,100,10,0.0,0.9904166666666666,0.0031258153329080957,100.0,100.0,22
0,100,100,10,0.0,0.9916666666666667,0.0034923232850763153,100.0,100.0,23
0,100,100,10,0.0,0.99125,0.003057543614045626,100.0,100.0,24
0,100,100,10,0.0,0.9904166666666666,0.003052855034004187,100.0,100.0,25
0,100,100,10,0.0,0.9908333333333333,0.00314759972725151,100.0,100.0,26
0,100,100,10,0.0,0.99125,0.0029510272710866724,100.0,100.0,27
0,100,100,10,0.0,0.9925,0.0031582376633249687,100.0,100.0,28
0,100,100,10,0.0,0.99125,0.0028007221670034066,100.0,100.0,29
0,100,100,10,0.0,0.9908333333333333,0.0029936481569214995,100.0,100.0,30
0,100,100,10,0.0,0.9908333333333333,0.003437977901095403,100.0,100.0,31
0,100,100,10,0.0,0.9904166666666666,0.0026805800455308895,100.0,100.0,32
0,100,100,10,0.0,0.99125,0.0027925148160940004,100.0,100.0,33
0,100,100,10,0.0,0.99125,0.0030748029951011245,100.0,100.0,34
0,100,100,10,0.0,0.9916666666666667,0.002952655130239202,100.0,100.0,35
0,100,100,10,0.0,0.9916666666666667,0.003313486233620502,100.0,100.0,36
0,100,100,10,0.0,0.9899999999999999,0.002850516645635282,100.0,100.0,37
0,100,100,10,0.0,0.9904166666666666,0.0029846524336502958,100.0,100.0,38
0,100,100,10,0.0,0.9904166666666666,0.003264925943495186,100.0,100.0,39
0,100,100,10,0.0,0.9916666666666667,0.0029622724659993335,100.0,100.0,40
0,100,100,10,0.0,0.9908333333333333,0.002836359876374047,100.0,100.0,41
0,100,100,10,0.0,0.9916666666666667,0.003179449419924456,100.0,100.0,42
0,100,100,10,0.0,0.9916666666666667,0.003025659984048647,100.0,100.0,43
0,100,100,10,0.0,0.9908333333333333,0.002887506297084074,100.0,100.0,44
0,100,100,10,0.0,0.9904166666666666,0.0033057539283855874,100.0,100.0,45
0,100,100,10,0.0,0.99125,0.0032192618175865256,100.0,100.0,46
0,100,100,10,0.0,0.99125,0.003167407067934999,100.0,100.0,47
0,100,100,10,0.0,0.99125,0.0030776646802028167,100.0,100.0,48
0,100,100,10,0.0,0.9925,0.0026578973278518184,100.0,100.0,49
0,100,100,10,0.0,0.9904166666666666,0.0029903526985457407,100.0,100.0,50
0,100,100,10,0.0,0.9908333333333333,0.0027337378554032465,100.0,100.0,51
0,100,100,10,0.0,0.99125,0.003213469689296991,100.0,100.0,52
0,100,100,10,0.0,0.99125,0.0031611663459523774,100.0,100.0,53
0,100,100,10,0.0,0.9908333333333333,0.0030556001331972804,100.0,100.0,54
0,100,100,10,0.0,0.9908333333333333,0.0031422658106775143,100.0,100.0,55
0,100,100,10,0.0,0.9908333333333333,0.002999064422225889,100.0,100.0,56
0,100,100,10,0.0,0.9908333333333333,0.0027619517884651962,100.0,100.0,57
0,100,100,10,0.0,0.99125,0.0031196371319710853,100.0,100.0,58
0,100,100,10,0.0,0.9908333333333333,0.003215039889988756,100.0,100.0,59
0,100,100,10,0.0,0.9916666666666667,0.0030138768076215625,100.0,100.0,60
0,100,100,10,0.0,0.9908333333333333,0.0030037728186424234,100.0,100.0,61
0,100,100,10,0.0,0.99125,0.0030607254698565675,100.0,100.0,62
0,100,100,10,0.0,0.9908333333333333,0.002862435219584729,100.0,100.0,63
0,100,100,10,0.0,0.9908333333333333,0.0028916365475255986,100.0,100.0,64
0,100,100,10,0.0,0.99125,0.0028395027093531433,100.0,100.0,65
0,100,100,10,0.0,0.9916666666666667,0.002377605812946458,100.0,100.0,66
0,100,100,10,0.0,0.99125,0.0030937138424993182,100.0,100.0,67
0,100,100,10,0.0,0.9904166666666666,0.0030843699315221316,100.0,100.0,68
0,100,100,10,0.0,0.9904166666666666,0.003633112931452071,100.0,100.0,69
0,100,100,10,0.0,0.9908333333333333,0.002926116578990135,100.0,100.0,70
0,100,100,10,0.0,0.99125,0.002753634380159836,100.0,100.0,71
0,100,100,10,0.0,0.9916666666666667,0.0025803782084694916,100.0,100.0,72
