Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Overall Survival,Progression-Free Survival,Time Step,Simulation Status
160,74,49,0,0.68175,0.6921150481297111,0.3794915689256162,0.0,100.0,0,RUNNING
161,74,74,0,0.6833850931677019,0.9907407407407407,0.0030635333676934683,0.0,99.375,1,RUNNING
169,74,74,0,0.6941715976331361,0.991111111111111,0.0027457608569557397,0.0,94.375,2,RUNNING
173,74,74,0,0.6984104046242775,0.9903703703703703,0.002684346993868645,0.0,91.875,3,RUNNING
176,74,74,0,0.7056818181818182,0.9903703703703703,0.003184498268926231,0.0,90.0,4,RUNNING
179,74,74,0,0.7081843575418995,0.9903703703703703,0.003025812731816619,0.0,88.125,5,RUNNING
185,74,74,0,0.710027027027027,0.9914814814814815,0.002918620043226983,0.0,84.375,6,RUNNING
190,74,74,0,0.7119473684210527,0.9907407407407407,0.003180041252525048,0.0,81.25,7,RUNNING
198,74,74,0,0.7213636363636364,0.991111111111111,0.0030655840455176848,0.0,76.25,8,RUNNING
200,74,74,0,0.7263,0.9914814814814815,0.003068448867161917,0.0,75.0,9,RUNNING
203,74,74,0,0.7255418719211822,0.9914814814814815,0.003025470412052555,0.0,73.125,10,RUNNING
205,74,74,0,0.7276829268292684,0.991111111111111,0.003116353468326502,0.0,71.875,11,RUNNING
213,74,74,0,0.7345774647887324,0.99,0.002779173594314586,0.0,66.875,12,RUNNING
220,74,74,0,0.7326818181818182,0.9903703703703703,0.0028156562078341376,0.0,62.5,13,RUNNING
225,74,74,0,0.7398,0.991111111111111,0.0032094008200094105,0.0,0.0,14,TUMOR_VICTORY
