Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Overall Survival,Progression-Free Survival,Time Step,Simulation Status
15,76,37,0,0.48666666666666664,0.7225917556191452,0.4519283801419544,0.0,100.0,0,RUNNING
15,76,76,0,0.48666666666666664,0.9917647058823529,0.0029482140538980794,0.0,100.0,1,RUNNING
14,76,76,1,0.4714285714285714,0.9905882352941177,0.0031799107965226527,6.666666666666665,100.0,2,RUNNING
12,76,76,3,0.44999999999999996,0.9899999999999999,0.002890827810335109,19.999999999999996,100.0,3,RUNNING
5,76,76,10,0.5399999999999999,0.9905882352941177,0.0024989857676908406,66.66666666666667,100.0,4,RUNNING
0,76,76,15,0.0,0.9917647058823529,0.0031681489929737115,100.0,100.0,5,REMISSION
