Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Overall Survival,Progression-Free Survival,Time Step,Simulation Status
54,23,10,0,0.625,0.7385339996473193,0.19997059113721316,0.0,100.0,0,RUNNING
56,23,23,0,0.6316071428571428,0.99,0.0030615769477061964,0.0,96.2962962962963,1,RUNNING
57,23,23,0,0.6323684210526316,0.99,0.0033917358475284236,0.0,94.44444444444444,2,RUNNING
57,23,23,0,0.6323684210526316,0.99,0.0018675751821217083,0.0,94.44444444444444,3,RUNNING
59,23,23,0,0.6383898305084745,0.99,0.0017238481693557257,0.0,90.74074074074075,4,RUNNING
59,23,23,0,0.6383898305084745,0.99,0.0018866554276802728,0.0,90.74074074074075,5,RUNNING
59,23,23,0,0.6383898305084745,0.99,0.004295875916438852,0.0,90.74074074074075,6,RUNNING
60,23,23,0,0.639,0.99,0.0024253170345472103,0.0,88.88888888888889,7,RUNNING
62,23,23,0,0.6401612903225806,0.99,0.0024953318789909767,0.0,85.18518518518519,8,RUNNING
63,23,23,0,0.645,0.995,0.004014663490391415,0.0,83.33333333333334,9,RUNNING
65,23,23,0,0.6542307692307692,0.99,0.002207229143589333,0.0,79.62962962962963,10,RUNNING
66,23,23,0,0.6504545454545454,0.99,0.0018768242446342192,0.0,77.77777777777779,11,RUNNING
68,23,23,0,0.6511764705882354,0.99,0.003022988372487854,0.0,74.07407407407408,12,RUNNING
69,23,23,0,0.6476086956521739,0.995,0.0021648469265797693,0.0,0.0,13,TUMOR_VICTORY
