Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Overall Survival,Progression-Free Survival,Time Step,Simulation Status
80,90,48,0,0.637875,0.6710800651909556,0.47810366035252105,0.0,100.0,0,RUNNING
83,90,90,0,0.6489759036144579,0.9904545454545454,0.0029022097253216463,0.0,96.25,1,RUNNING
83,90,90,0,0.6489759036144579,0.9904545454545454,0.002742477612158894,0.0,96.25,2,RUNNING
84,90,90,0,0.6525000000000001,0.9904545454545454,0.002926005015189598,0.0,95.0,3,RUNNING
86,90,90,0,0.6498837209302326,0.990909090909091,0.0030674876097342304,0.0,92.5,4,RUNNING
87,90,90,0,0.6532758620689655,0.9927272727272727,0.0026698105123033103,0.0,91.25,5,RUNNING
83,90,90,0,0.6457228915662651,0.9918181818181818,0.00339740176008603,0.0,96.25,6,RUNNING
84,90,90,0,0.6492857142857142,0.9918181818181818,0.003100466111763693,0.0,95.0,7,RUNNING
83,90,90,0,0.6522289156626506,0.9900000000000001,0.003311010278023676,0.0,96.25,8,RUNNING
75,90,90,5,0.6606000000000001,0.990909090909091,0.003020655627825905,6.25,100.0,9,RUNNING
72,90,90,8,0.66,0.990909090909091,0.0032936589596437404,9.999999999999998,100.0,10,RUNNING
71,90,90,9,0.6597887323943662,0.990909090909091,0.0029649599446084224,11.250000000000004,100.0,11,RUNNING
69,90,90,11,0.6828260869565218,0.9927272727272727,0.0032754633537302974,13.749999999999996,100.0,12,RUNNING
66,90,90,14,0.6954545454545454,0.9918181818181818,0.0031774039648088375,17.500000000000004,100.0,13,RUNNING
64,90,90,16,0.70875,0.9931818181818183,0.002915504924267349,19.999999999999996,100.0,14,RUNNING
59,90,90,21,0.7253389830508475,0.990909090909091,0.003333045201061058,26.249999999999996,100.0,15,RUNNING
54,90,90,26,0.735,0.9904545454545454,0.0030683739765953832,32.49999999999999,100.0,16,RUNNING
50,90,90,30,0.7452,0.990909090909091,0.0027059830445496373,37.5,100.0,17,RUNNING
47,90,90,33,0.7554255319148937,0.990909090909091,0.0034266313880266658,41.25,100.0,18,RUNNING
39,90,90,41,0.7511538461538461,0.990909090909091,0.002883428696970375,51.24999999999999,100.0,19,RUNNING
36,90,90,44,0.7425,0.9913636363636363,0.002831168777340815,55.00000000000001,100.0,20,RUNNING
34,90,90,46,0.7385294117647059,0.990909090909091,0.0031166064914563934,57.49999999999999,100.0,21,RUNNING
31,90,90,49,0.7533870967741936,0.990909090909091,0.0028970202827515805,61.25000000000001,100.0,22,RUNNING
26,90,90,54,0.7476923076923078,0.9918181818181818,0.0031921845810449464,67.5,100.0,23,RUNNING
17,90,90,63,0.8179411764705882,0.9913636363636363,0.0031075501316356127,78.75,100.0,24,RUNNING
14,90,90,66,0.8485714285714285,0.9918181818181818,0.0030506207392987385,82.5,100.0,25,RUNNING
11,90,90,69,0.8222727272727273,0.9922727272727272,0.00301476967549766,86.25,100.0,26,RUNNING
2,90,90,78,0.945,0.990909090909091,0.0028770763121960864,97.5,100.0,27,RUNNING
0,90,90,80,0.0,0.9913636363636363,0.0031055983678326725,100.0,100.0,28,REMISSION
