Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Overall Survival,Progression-Free Survival,Time Step,Simulation Status
27,94,44,0,0.4777777777777778,0.665972451709543,0.4524130198442912,0.0,100.0,0,RUNNING
27,94,94,0,0.4777777777777778,0.9914285714285714,0.002872852408476023,0.0,100.0,1,RUNNING
27,94,94,0,0.4777777777777778,0.9914285714285714,0.0030819127171287978,0.0,100.0,2,RUNNING
25,94,94,2,0.49199999999999994,0.9919047619047618,0.002951850199971757,7.4074074074074066,100.0,3,RUNNING
18,94,94,9,0.5333333333333333,0.9904761904761905,0.0030191007542507762,33.333333333333336,100.0,4,RUNNING
8,94,94,19,0.6,0.9904761904761905,0.0031992812520984424,70.37037037037037,100.0,5,RUNNING
0,94,94,27,0.0,0.9909523809523809,0.003135485336104248,100.0,100.0,6,REMISSION
