Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Overall Survival,Progression-Free Survival,Time Step,Simulation Status
120,80,46,0,0.7358333333333333,0.6922208807416088,0.36064759561728793,0.0,100.0,0,RUNNING
122,80,80,0,0.735655737704918,0.992,0.0030716333536541978,0.0,98.33333333333333,1,RUNNING
124,80,80,0,0.7379032258064516,0.9904999999999999,0.0032193544468677436,0.0,96.66666666666667,2,RUNNING
124,80,80,0,0.7443548387096774,0.991,0.0033291341264903365,0.0,96.66666666666667,3,RUNNING
126,80,80,0,0.7444444444444445,0.9914999999999999,0.0027130963061113306,0.0,95.0,4,RUNNING
131,80,80,0,0.750381679389313,0.991,0.002966950520842336,0.0,90.83333333333333,5,RUNNING
137,80,80,0,0.7514598540145986,0.9904999999999999,0.0032846271543281883,0.0,85.83333333333334,6,RUNNING
140,80,80,0,0.7514285714285714,0.991,0.0030614220877585993,0.0,83.33333333333334,7,RUNNING
146,80,80,0,0.7523972602739726,0.9914999999999999,0.0028492760038641707,0.0,78.33333333333333,8,RUNNING
146,80,80,0,0.7523972602739726,0.9914999999999999,0.0030259859646333646,0.0,78.33333333333333,9,RUNNING
146,80,80,0,0.7544520547945205,0.9904999999999999,0.0028248187074168788,0.0,78.33333333333333,10,RUNNING
150,80,80,0,0.7646666666666667,0.992,0.0027802159494333288,0.0,75.0,11,RUNNING
156,80,80,0,0.7705128205128206,0.991,0.003272326770827314,0.0,70.0,12,RUNNING
155,80,80,0,0.7793548387096774,0.9914999999999999,0.0025231774656550507,0.0,70.83333333333333,13,RUNNING
159,80,80,0,0.780188679245283,0.992,0.0027959642228074775,0.0,67.5,14,RUNNING
165,80,80,0,0.7818181818181819,0.991,0.0031140923048462972,0.0,62.5,15,RUNNING
167,80,80,0,0.7877245508982037,0.9904999999999999,0.002743832618405353,0.0,60.83333333333334,16,RUNNING
173,80,80,0,0.7936416184971099,0.9904999999999999,0.0030695053320199503,0.0,55.833333333333336,17,RUNNING
173,80,80,0,0.8002890173410404,0.9904999999999999,0.0031223261377633176,0.0,55.833333333333336,18,RUNNING
175,80,80,0,0.806,0.991,0.0032538904601093948,0.0,54.16666666666667,19,RUNNING
175,80,80,0,0.8122857142857143,0.991,0.002769358948556129,0.0,54.16666666666667,20,RUNNING
174,80,80,0,0.8175287356321839,0.991,0.0029372595829539076,0.0,55.00000000000001,21,RUNNING
176,80,80,0,0.8227272727272728,0.992,0.0030163103162394074,0.0,53.333333333333336,22,RUNNING
178,80,80,0,0.8188202247191011,0.991,0.0031803108341789343,0.0,51.66666666666666,23,RUNNING
176,80,80,0,0.8247159090909091,0.992,0.0026191801720656513,0.0,53.333333333333336,24,RUNNING
176,80,80,0,0.8264204545454544,0.99,0.0027542585732571023,0.0,53.333333333333336,25,RUNNING
177,80,80,0,0.8305084745762712,0.9925,0.0030758910068662613,0.0,52.5,26,RUNNING
178,80,80,0,0.8331460674157304,0.9904999999999999,0.0025600176654619216,0.0,51.66666666666666,27,RUNNING
180,80,80,0,0.8394444444444444,0.991,0.0029008470442142566,0.0,50.0,28,RUNNING
184,80,80,0,0.8472826086956522,0.9914999999999999,0.002998087190050823,0.0,46.666666666666664,29,RUNNING
185,80,80,0,0.8464864864864865,0.9925,0.0032946175302549204,0.0,45.833333333333336,30,RUNNING
181,80,80,0,0.8400552486187846,0.992,0.002858253797246781,0.0,49.16666666666667,31,RUNNING
180,80,80,0,0.845,0.992,0.003303329005439031,0.0,50.0,32,RUNNING
184,80,80,0,0.842391304347826,0.991,0.0030164448357190097,0.0,46.666666666666664,33,RUNNING
189,80,80,0,0.8436507936507935,0.9904999999999999,0.0029603682943465963,0.0,42.50000000000001,34,RUNNING
196,80,80,0,0.8441326530612244,0.9914999999999999,0.0029057689627912144,0.0,36.66666666666667,35,RUNNING
201,80,80,0,0.8440298507462687,0.9914999999999999,0.003119496560505557,0.0,32.49999999999999,36,RUNNING
205,80,80,0,0.848780487804878,0.9904999999999999,0.0032374508578288863,0.0,29.166666666666664,37,RUNNING
206,80,80,0,0.8507281553398058,0.9914999999999999,0.0027843138147799367,0.0,28.333333333333332,38,RUNNING
207,80,80,0,0.8538647342995169,0.9914999999999999,0.0034091150410344934,0.0,27.500000000000004,39,RUNNING
204,80,80,0,0.8607843137254901,0.9904999999999999,0.003012622164061903,0.0,30.000000000000004,40,RUNNING
208,80,80,0,0.8646634615384615,0.991,0.0029360443685932662,0.0,26.66666666666667,41,RUNNING
214,80,80,0,0.8719626168224299,0.9914999999999999,0.003094869382429911,0.0,21.666666666666668,42,RUNNING
214,80,80,0,0.8731308411214953,0.991,0.003137616125680967,0.0,21.666666666666668,43,RUNNING
215,80,80,0,0.8725581395348837,0.99,0.0031241072501441607,0.0,20.833333333333336,44,RUNNING
216,80,80,0,0.8745370370370371,0.9904999999999999,0.0031422244556078517,0.0,19.999999999999996,45,RUNNING
216,80,80,0,0.8747685185185184,0.9914999999999999,0.0026793762533577686,0.0,19.999999999999996,46,RUNNING
219,80,80,0,0.8778538812785388,0.992,0.003142253199916628,0.0,17.500000000000004,47,RUNNING
225,80,80,0,0.8824444444444445,0.9914999999999999,0.002646067615335815,0.0,12.5,48,RUNNING
233,80,80,0,0.8875536480686695,0.9914999999999999,0.002720986065636731,0.0,5.833333333333335,49,RUNNING
243,80,80,0,0.8911522633744856,0.991,0.0030128043269440842,0.0,0.0,50,TUMOR_VICTORY
