Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Overall Survival,Progression-Free Survival,Time Step,Simulation Status
56,26,11,0,0.4642857142857143,0.732416925561749,0.5411440028775696,0.0,100.0,0,RUNNING
57,26,26,0,0.4614035087719298,0.995,0.003028078678353855,0.0,98.21428571428571,1,RUNNING
58,26,26,0,0.4586206896551724,0.995,0.003596609067892044,0.0,96.42857142857143,2,RUNNING
58,26,26,0,0.4586206896551724,0.995,0.0035690882135708275,0.0,96.42857142857143,3,RUNNING
60,26,26,0,0.4666666666666667,0.99,0.0025398651531449916,0.0,92.85714285714286,4,RUNNING
61,26,26,0,0.4704918032786885,0.99,0.0026754795229670123,0.0,91.07142857142857,5,RUNNING
61,26,26,0,0.4704918032786885,0.99,0.0036415087898445525,0.0,91.07142857142857,6,RUNNING
62,26,26,0,0.47096774193548385,0.995,0.0035589627744766505,0.0,89.28571428571429,7,RUNNING
62,26,26,0,0.47096774193548385,0.99,0.0019199434803475494,0.0,89.28571428571429,8,RUNNING
64,26,26,0,0.471875,0.99,0.003909893294785395,0.0,85.71428571428572,9,RUNNING
63,26,26,0,0.47777777777777775,0.99,0.0025933724892120225,0.0,87.5,10,RUNNING
63,26,26,0,0.47777777777777775,0.99,0.00420550998021127,0.0,87.5,11,RUNNING
63,26,26,0,0.47777777777777775,0.995,0.003763749897701237,0.0,87.5,12,RUNNING
64,26,26,0,0.484375,0.995,0.0024650533719828005,0.0,85.71428571428572,13,RUNNING
65,26,26,0,0.4876923076923077,0.995,0.0012643545561591115,0.0,83.92857142857143,14,RUNNING
64,26,26,0,0.4875,0.99,0.003320380903888964,0.0,85.71428571428572,15,RUNNING
63,26,26,0,0.5063492063492063,0.995,0.002756742602465647,0.0,87.5,16,RUNNING
61,26,26,0,0.5032786885245901,0.99,0.0033024173046985947,0.0,91.07142857142857,17,RUNNING
61,26,26,0,0.5065573770491804,0.99,0.0015025955474745134,0.0,91.07142857142857,18,RUNNING
61,26,26,0,0.5065573770491804,0.99,0.0019242693825343776,0.0,91.07142857142857,19,RUNNING
61,26,26,0,0.5065573770491804,0.99,0.0033973541737911265,0.0,91.07142857142857,20,RUNNING
57,26,26,0,0.5070175438596491,0.99,0.002701326501695837,0.0,98.21428571428571,21,RUNNING
55,26,26,1,0.5109090909090909,0.99,0.0023540384636091954,1.7857142857142905,100.0,22,RUNNING
53,26,26,3,0.5037735849056604,0.995,0.0016897464678753951,5.35714285714286,100.0,23,RUNNING
55,26,26,1,0.5036363636363637,0.99,0.001466617343753408,1.7857142857142905,100.0,24,RUNNING
55,26,26,1,0.5109090909090909,0.99,0.002606844516938863,1.7857142857142905,100.0,25,RUNNING
54,26,26,2,0.5222222222222223,0.995,0.003721892508179098,3.57142857142857,100.0,26,RUNNING
51,26,26,5,0.5196078431372549,0.99,0.0026277795155266676,8.92857142857143,100.0,27,RUNNING
50,26,26,6,0.512,0.99,0.002784922624643769,10.71428571428571,100.0,28,RUNNING
48,26,26,8,0.5166666666666667,0.995,0.0016127535220205763,14.28571428571429,100.0,29,RUNNING
46,26,26,10,0.5173913043478261,0.99,0.0018418298022618608,17.85714285714286,100.0,30,RUNNING
45,26,26,11,0.5133333333333333,0.995,0.001784898768834863,19.64285714285714,100.0,31,RUNNING
45,26,26,11,0.5133333333333333,0.99,0.0035340014633124905,19.64285714285714,100.0,32,RUNNING
42,26,26,14,0.5238095238095238,0.99,0.0038155346209804942,25.0,100.0,33,RUNNING
41,26,26,15,0.5292682926829269,0.99,0.002795937816189047,26.785714285714292,100.0,34,RUNNING
41,26,26,15,0.5439024390243903,0.99,0.0028335910999540514,26.785714285714292,100.0,35,RUNNING
42,26,26,14,0.5523809523809524,0.995,0.002290399373176215,25.0,100.0,36,RUNNING
39,26,26,17,0.5615384615384615,0.995,0.0023311562984687072,30.35714285714286,100.0,37,RUNNING
39,26,26,17,0.5666666666666667,0.995,0.002991215662262137,30.35714285714286,100.0,38,RUNNING
38,26,26,18,0.5631578947368421,0.995,0.003032701654627001,32.14285714285714,100.0,39,RUNNING
38,26,26,18,0.5736842105263157,0.99,0.0038667901018701427,32.14285714285714,100.0,40,RUNNING
35,26,26,21,0.5742857142857142,0.99,0.0028774201596502413,37.5,100.0,41,RUNNING
36,26,26,20,0.5722222222222222,0.99,0.002311980154763024,35.71428571428571,100.0,42,RUNNING
32,26,26,24,0.5625,0.99,0.0015729221742605548,42.85714285714286,100.0,43,RUNNING
30,26,26,26,0.56,0.99,0.002724527166889006,46.42857142857143,100.0,44,RUNNING
25,26,26,31,0.564,0.99,0.002710057832480066,55.35714285714286,100.0,45,RUNNING
23,26,26,33,0.5521739130434782,0.99,0.0032603091201572256,58.92857142857143,100.0,46,RUNNING
21,26,26,35,0.5476190476190477,0.995,0.0016028626260128883,62.5,100.0,47,RUNNING
19,26,26,37,0.5526315789473685,0.99,0.0035801706440838762,66.07142857142857,100.0,48,RUNNING
18,26,26,38,0.5666666666666667,0.99,0.003058073052592464,67.85714285714286,100.0,49,RUNNING
15,26,26,41,0.6199999999999999,0.99,0.003387066877663957,73.21428571428572,100.0,50,MAX_STEPS
