Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Overall Survival,Progression-Free Survival,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Time Step
50,0,0,0,1,1,0.46,0.7348124617031013,0.38369310660505285,0
51,0,30,-1,1,0,0.46078431372549017,0.9899999999999999,0.1204840908353989,1
51,0,30,-1,1,0,0.46078431372549017,0.9933333333333333,0.0022483061157214184,2
52,0,30,-2,1,0,0.4653846153846154,0.9933333333333333,0.004346848737880366,3
54,0,30,-4,1,0,0.4666666666666667,0.9899999999999999,0.003481252600944299,4
54,0,30,-4,1,0,0.4666666666666667,0.9933333333333333,0.003567322176220855,5
54,0,30,-4,1,0,0.4666666666666667,0.9899999999999999,0.003725230346738786,6
55,0,30,-5,1,0,0.4709090909090909,0.9899999999999999,0.0038722740884440596,7
56,0,30,-6,1,0,0.4714285714285714,0.9933333333333333,0.0027472444368967295,8
58,0,30,-8,1,0,0.4724137931034483,0.9899999999999999,0.0027606850850241532,9
59,0,30,-9,1,0,0.4694915254237288,0.9899999999999999,0.003194362746253668,10
59,0,30,-9,1,0,0.4694915254237288,0.9899999999999999,0.002755807241488777,11
62,0,30,-12,1,0,0.47096774193548385,0.9899999999999999,0.0035888658001776916,12
62,0,30,-12,1,0,0.47096774193548385,0.9933333333333333,0.0031314172047984625,13
64,0,30,-14,1,0,0.471875,0.9899999999999999,0.003109717969682958,14
68,0,30,-18,1,0,0.48235294117647054,0.9933333333333333,0.0023354228591875264,15
71,0,30,-21,1,0,0.4802816901408451,0.9899999999999999,0.004241687008574226,16
71,0,30,-21,1,0,0.4802816901408451,0.9933333333333333,0.003459321097878517,17
72,0,30,-22,1,0,0.47777777777777775,0.9899999999999999,0.003149984869430427,18
73,0,30,-23,1,0,0.4753424657534246,0.9899999999999999,0.00386550630477741,19
75,0,30,-25,1,0,0.4759999999999999,0.9899999999999999,0.003395223367421419,20
75,0,30,-25,1,0,0.4759999999999999,0.9899999999999999,0.004127904095767662,21
77,0,30,-27,1,0,0.4792207792207792,0.9899999999999999,0.0019217336549097756,22
79,0,30,-29,1,0,0.48481012658227846,0.9933333333333333,0.002879936508187826,23
82,0,30,-32,1,0,0.4853658536585366,0.9899999999999999,0.0027558070608615973,24
83,0,30,-33,1,0,0.48313253012048196,0.9933333333333333,0.0033293987122287243,25
85,0,30,-35,1,0,0.48588235294117643,0.9899999999999999,0.0033413246149445997,26
87,0,30,-37,1,0,0.4885057471264368,0.9899999999999999,0.004329015806805162,27
89,0,30,-39,1,0,0.4887640449438202,0.9899999999999999,0.002467104142706896,28
95,0,30,-45,1,0,0.491578947368421,0.9966666666666667,0.002995958580796694,29
95,0,30,-45,1,0,0.491578947368421,0.9933333333333333,0.003516463917647678,30
96,0,30,-46,1,0,0.49374999999999997,0.9899999999999999,0.0020572861028258197,31
97,0,30,-47,1,0,0.49587628865979383,0.9933333333333333,0.0032787254491387125,32
98,0,30,-48,1,0,0.4959183673469388,0.9899999999999999,0.0020432036263774676,33
103,0,30,-53,1,0,0.49805825242718443,0.9899999999999999,0.002225944741309797,34
103,0,30,-53,1,0,0.5,0.9933333333333333,0.002447220536764463,35
109,0,30,-59,1,0,0.501834862385321,0.9899999999999999,0.0019183710712535565,36
113,0,30,-63,1,0,0.5017699115044247,0.9933333333333333,0.0031071696152746102,37
116,0,30,-66,1,0,0.503448275862069,0.9899999999999999,0.0016599580146243792,38
122,0,30,-72,1,0,0.5049180327868853,0.9899999999999999,0.0036281180633139366,39
122,0,30,-72,1,0,0.5049180327868853,0.9899999999999999,0.0029820776621664034,40
